"gameID","faction","forceOrg","ROW/Subfaction","alliedFaction","warlordTrait","VPs","warlord","listName"
"0002 - RS","Dark Angels","Castellan","","","Divide to Conquer","14","Herald",""
"0002 - RS","Night Lords","Leviathan","The Reaping","","Tenacity","9","Delegatus",""
"0002 - RS","Militia & Cults","Crusade","","","Master Tactician","8","Platoon Commander",""
"0002 - RS","Solar Auxilia","Onslaught","","Raven Guard","Perfected Targeting","5","Strategos",""
"0002 - RS","White Scars","Leviathan","","Ultramarines","Princeps of Deceit","1","Librarian",""
"0002 - RS","Iron Warriors","Crusade","","","Indomitable","2","Armistos",""
"0002 - RS","Questoris Knights","Crusade","","","Battlefield Analysis","13","Lord Scion",""
"0002 - RS","Emperor's Children","Onslaught","","Iron Hands","Beloved of the People","2","Primus Nullificator",""
"0002 - RS","Dark Angels","Leviathan","","","Siege Master","8","Vigilator",""
"0002 - RS","White Scars","Onslaught","The Logos Lectora","","Master of the Vanguard","8","Praetor",""
"0002 - RS","Imperial Fists","Onslaught","","","Immovable Object","9","Primus Medicae",""
"0002 - RS","Solar Auxilia","Onslaught","","","Paladin of Glory","10","Auxilia Tank Commander",""
"0002 - RS","Word Bearers","Castellan","The Eskaton Imperative","","World Burner","1","Primus Nullificator",""
"0002 - RS","Salamanders","Crusade","Fury of the Ancients","","Uncanny Survivor","8","Forge Lord",""
"0002 - RS","Word Bearers","Leviathan","The Pale Hunters","","Hell Rider","5","Champion",""
"0002 - RS","Word Bearers","Crusade","Orphans of War","Blackshields","Hell Rider","1","Siege Breaker",""
"0002 - RS","White Scars","Leviathan","","Raven Guard","Target Priority","2","Champion",""
"0002 - RS","Alpha Legion","Crusade","Armoured Breakthrough","Questoris Knights","Merchant Princeling","2","Siege Breaker",""
"0002 - RS","Emperor's Children","Leviathan","The Dark Brethren","","The Dust of a Thousand Worlds","10","Vigilator",""
"0002 - RS","Sons of Horus","Leviathan","","","The Death of Flesh","13","Armistos",""
"0002 - RS","Iron Hands","Castellan","Primarch's Chosen","","Master of Mechanisms","1","Praetor Tribune",""
"0002 - RS","Imperial Fists","Castellan","The Seekers Arrow","","Indomitable","15","Siege Breaker",""
"0002 - RS","Space Wolves","Onslaught","Vigil Opertii Mission","","Robber Baron","6","Master of Signals",""
"0002 - RS","Emperor's Children","Onslaught","The Stone Gauntlet","","Hell Rider","4","Praetor",""
"0002 - RS","Solar Auxilia","Castellan","","","Merchant Princeling","5","Legate Commander",""
"0002 - RS","Sons of Horus","Leviathan","The Crimson Path","Iron Warriors","The Death of Flesh","14","Forge Lord",""
"0002 - RS","Ultramarines","Leviathan","Vigil Opertii Mission","","Child of Terra","3","Armistos",""
"0002 - RS","Alpha Legion","Onslaught","The Axis of Dissolution","Death Guard","Uncanny Survivor","12","Master of Signals",""
"0002 - RS","Imperial Fists","Onslaught","","","Void Walker","8","Praetor",""
"0002 - RS","World Eaters","Onslaught","The Maru Skara","Word Bearers","Perfected Targeting","15","Siege Breaker",""
"0002 - RS","Space Wolves","Castellan","Creeping Death","","Beloved of the People","8","Forge Lord",""
"0002 - RS","Mechanicum","Castellan","","","Siege Master","1","Magos reductor",""
"0002 - RS","Alpha Legion","Castellan","Horror Cult","","Predictive Augury","5","Praetor Tribune",""
"0002 - RS","Sons of Horus","Castellan","The Day of Sorrow","","Child of Terra","10","Esoterist",""
"0002 - RS","Militia & Cults","Leviathan","","","Target Priority","8","Discipline Master",""
"0002 - RS","Thousand Sons","Crusade","The Serpent's Bane","","The Death of Flesh","8","Praetor",""
"0002 - RS","Blood Angels","Onslaught","The Black Reaving","","Beloved of the People","9","Warmonger",""
"0002 - RS","Raven Guard","Onslaught","Liberation Force","","Hell Rider","6","Praetor",""
"0002 - RS","Night Lords","Castellan","","","Master of Mechanisms","10","Delegatus",""
"0002 - RS","White Scars","Castellan","3rd Company Elite","Ultramarines","Night Attacker","11","Siege Breaker",""
"0002 - RS","Thousand Sons","Onslaught","","","Favoured of Mars","6","Chaplain",""
"0002 - RS","Questoris Knights","Crusade","","","Child of Terra","14","Archmagos Draykavac",""
"0002 - RS","Salamanders","Leviathan","Brethren of Iron","World Eaters","Immovable Object","14","Primus Nullificator",""
"0002 - RS","Blackshields","Leviathan","","","Night Attacker","12","Centurion",""
"0002 - RS","White Scars","Onslaught","Armoured Breakthrough","Emperor's Children","Indomitable","8","Vigilator",""
"0002 - RS","Alpha Legion","Castellan","","","Robber Baron","10","Praevian",""
"0002 - RS","Blackshields","Crusade","Death Seekers","","Puissant Commander","9","Warmonger",""
"0002 - RS","Night Lords","Onslaught","Death Seekers","Imperial Fists","Perfected Targeting","13","Praetor Tribune",""
"0002 - RS","Emperor's Children","Onslaught","","","The Death of Flesh","4","Praetor",""
"0002 - RS","Salamanders","Castellan","","Alpha Legion","Coordinated Assault","10","Champion",""
"0002 - RS","Ultramarines","Leviathan","","Thousand Sons","Child of Terra","2","Siege Breaker",""
"0002 - RS","Mechanicum","Crusade","Legio Cybernetica","Night Lords","Predictive Augury","7","Magos Reductor Calleb Decima",""
"0002 - RS","Ultramarines","Crusade","Chymeriae","Iron Hands","Princeps of Deceit","4","Delegatus",""
"0002 - RS","White Scars","Crusade","","Mechanicum","Battlefield Analysis","13","Siege Breaker",""
"0002 - RS","Iron Warriors","Castellan","Vigil Opertii Mission","","Master Tactician","9","Siege Breaker",""
"0002 - RS","Night Lords","Crusade","","","Master of Manoeuvre","4","Esoterist",""
"0002 - RS","Dark Angels","Crusade","Brethren of Iron","Death Guard","The Dust of a Thousand Worlds","7","Chaplain",""
"0002 - RS","Ultramarines","Castellan","","","Hell Rider","13","Champion",""
"0002 - RS","Solar Auxilia","Castellan","","","Void Master","15","Lord Marshal",""
"0002 - RS","Imperial Fists","Castellan","The Pale Hunters","Imperial Fists","Master Tactician","6","Moritat",""
"0002 - RS","Shattered Legions","Crusade","","","Favoured of Mars","5","Siege Breaker",""
"0002 - RS","Emperor's Children","Castellan","The Dark Brethren","","Ruthless Tyrant","15","Praetor",""
"0002 - RS","Solar Auxilia","Castellan","","Blackshields","Legendary Fighter","12","Strategos",""
"0002 - RS","Night Lords","Crusade","Legion Recon Company","Night Lords","Master Tactician","8","Praevian",""
"0002 - RS","Salamanders","Crusade","The Stone Gauntlet","","Connoisseur of Alien Curios","14","Primus Medicae",""
"0002 - RS","Mechanicum","Onslaught","Legio Cybernetica","","Favoured of Mars","6","Anacharis Scoria",""
"0002 - RS","Questoris Knights","Crusade","","Sons of Horus","Master of Manoeuvre","13","Seneschal",""
"0002 - RS","Shattered Legions","Onslaught","","Iron Hands","Marcher Lord","6","Primus Nullificator",""
"0002 - RS","Thousand Sons","Onslaught","","Dark Angels","The Death of Flesh","13","Chaplain",""
"0002 - RS","Questoris Knights","Leviathan","","","Divide to Conquer","2","Seneschal",""
"0002 - RS","Raven Guard","Crusade","The Logos Lectora","","Puissant Commander","2","Warmonger",""
"0002 - RS","Night Lords","Leviathan","","","Night Attacker","4","Herald",""
"0002 - RS","Shattered Legions","Leviathan","The Pale Hunters","Dark Angels","Ruthless Tyrant","14","Vigilator",""
"0002 - RS","World Eaters","Crusade","","","Predictive Augury","12","Mortificator",""
"0002 - RS","Emperor's Children","Leviathan","Armoured Spearhead","","Intimidating Presence","2","Vigilator",""
"0002 - RS","Shattered Legions","Leviathan","The Dark Brethren","Ultramarines","Uncanny Survivor","13","Praetor",""
"0002 - RS","Emperor's Children","Leviathan","The Stone Gauntlet","","Void Walker","14","Praetor Tribune",""
"0002 - RS","Mechanicum","Leviathan","Ordo Reductor","Word Bearers","Favoured of Mars","10","Magos Prime",""
"0002 - RS","Alpha Legion","Crusade","","","Connoisseur of Alien Curios","3","Primus Nullificator",""
"0002 - RS","Emperor's Children","Leviathan","Headhunter Leviathal","","Target Priority","15","Champion",""
"0002 - RS","Blackshields","Leviathan","Chymeriae","","Legendary Fighter","15","Centurion",""
"0002 - RS","Militia & Cults","Onslaught","","","The Death of Flesh","4","Platoon Commander",""
"0002 - RS","Questoris Knights","Crusade","","","Void Walker","14","Archmagos Draykavac",""
"0002 - RS","Sons of Horus","Castellan","Liberation Force","","Blind Barrage","13","Centurion",""
"0002 - RS","Night Lords","Crusade","","","Favoured of Mars","3","Forge Lord",""
"0002 - RS","Ultramarines","Leviathan","","","Ruthless Tyrant","12","Herald",""
"0002 - RS","Militia & Cults","Leviathan","","","Void Walker","14","Rogue Psyker",""
"0002 - RS","Thousand Sons","Onslaught","","","Siege Master","6","Forge Lord",""
"0002 - RS","Ultramarines","Leviathan","The Day of Sorrow","Salamanders","Master of Mechanisms","5","Herald",""
"0002 - RS","Word Bearers","Crusade","Horror Cult","","Legendary Fighter","1","Praevian",""
"0002 - RS","Shattered Legions","Onslaught","Outcast Sons","Death Guard","Divide to Conquer","15","Primus Nullificator",""
"0002 - RS","Emperor's Children","Crusade","Berserker Assault","","Tenacity","14","Esoterist",""
"0002 - RS","Shattered Legions","Leviathan","Outlanders","Sons of Horus","Glorious Renown","7","Praetor",""
"0002 - RS","Iron Hands","Crusade","The Serpent's Bane","","Hell Rider","1","Vigilator",""
"0002 - RS","Salamanders","Onslaught","","","Intimidating Presence","15","Vigilator",""
"0002 - RS","Solar Auxilia","Castellan","","Alpha Legion","Strategic Genius","13","Lord Marshal",""
"0002 - RS","Dark Angels","Onslaught","The Cross of Bone","Imperial Fists","Dread Rites","13","Siege Breaker",""
"0002 - RS","Iron Warriors","Onslaught","","","Bitter Blood","15","Praetor Tribune",""
"0002 - RS","Shattered Legions","Onslaught","","","Merchant Princeling","2","Forge Lord",""
"0002 - RS","Iron Warriors","Crusade","Company of Bitter Iron","","Favoured of Mars","14","Champion",""
"0002 - RS","Dark Angels","Castellan","The Dark Brethren","Iron Hands","Coordinated Assault","13","Moritat",""
"0002 - RS","World Eaters","Onslaught","","","Beloved of the People","2","Herald",""
"0002 - RS","Questoris Knights","Leviathan","","","Uncanny Survivor","10","Lord Scion",""
"0002 - RS","Alpha Legion","Crusade","","","Divide to Conquer","5","Chaplain",""
"0002 - RS","Ultramarines","Crusade","The Bloodied Claws","","Immovable Object","4","Praetor",""
"0002 - RS","Dark Angels","Crusade","Fury of the Ancients","","Master of Manoeuvre","15","Herald",""
"0002 - RS","Emperor's Children","Leviathan","The Long March","","Child of Terra","3","Primus Medicae",""
"0002 - RS","Shattered Legions","Castellan","","","Marcher Lord","9","Librarian",""
"0002 - RS","Emperor's Children","Crusade","","","Bloody Handed","12","Praevian",""
"0002 - RS","Emperor's Children","Onslaught","","","Master of Defence","8","Moritat",""
"0002 - RS","Thousand Sons","Leviathan","Drop Assault Vanguard","","Master Tactician","10","Centurion",""
"0002 - RS","Thousand Sons","Crusade","Terror Assault","","Hell Rider","11","Chaplain",""
"0002 - RS","Iron Hands","Castellan","","White Scars","Void Master","11","Praetor Tribune",""
"0002 - RS","World Eaters","Leviathan","","Emperor's Children","Master of Mechanisms","1","Primus Nullificator",""
"0002 - RS","Militia & Cults","Crusade","","","Dread Rites","8","Rogue Psyker Alpha",""
"0002 - RS","White Scars","Crusade","","","Dread Rites","1","Librarian",""
"0002 - RS","Salamanders","Onslaught","Headhunter Leviathal","","Immovable Object","4","Warmonger",""
"0002 - RS","Solar Auxilia","Leviathan","","","Master of Ambush","15","Legate Commander",""
"0002 - RS","World Eaters","Leviathan","","","Paladin of Glory","15","Vigilator",""
"0002 - RS","Space Wolves","Onslaught","The Unbroken Vow","Alpha Legion","Intimidating Presence","2","Mortificator",""
"0002 - RS","Questoris Knights","Onslaught","","","Dread Rites","1","Seneschal",""
"0002 - RS","Iron Hands","Onslaught","Drop Assault Vanguard","Salamanders","Master of Offence","4","Librarian",""
"0002 - RS","Space Wolves","Onslaught","","Death Guard","Puissant Commander","5","Mortificator",""
"0002 - RS","Mechanicum","Leviathan","Legio Cybernetica","","Robber Baron","14","Secutarii Axiarch",""
"0002 - RS","Shattered Legions","Leviathan","The Unbroken Vow","","Hell Rider","8","Praetor Tribune",""
"0002 - RS","Questoris Knights","Onslaught","","","Indomitable","7","Lord Scion",""
"0002 - RS","Raven Guard","Leviathan","","","The Death of Flesh","15","Delegatus",""
"0002 - RS","Blackshields","Onslaught","","Questoris Knights","Beloved of the People","7","Centurion",""
"0002 - RS","Space Wolves","Crusade","","","Legendary Fighter","10","Praetor",""
"0002 - RS","Dark Angels","Onslaught","","","Immovable Object","8","Herald",""
"0002 - RS","Ultramarines","Crusade","Ravenwing Protocol","","Robber Baron","11","Esoterist",""
"0002 - RS","Salamanders","Crusade","","","Bloody Handed","15","Master of Signals",""
"0002 - RS","Questoris Knights","Castellan","","","Dread Rites","10","Seneschal",""
"0002 - RS","Sons of Horus","Leviathan","","","Strategic Genius","10","Centurion",""
"0002 - RS","World Eaters","Leviathan","Horror Cult","","Master of Mechanisms","8","Master of Signals",""
"0002 - RS","Shattered Legions","Leviathan","","","Master of Mechanisms","13","Mortificator",""
"0002 - RS","Night Lords","Leviathan","Orphans of War","","Night Attacker","11","Siege Breaker",""
"0002 - RS","Death Guard","Leviathan","Sagyar Mazan","","Divide to Conquer","2","Delegatus",""
"0002 - RS","Space Wolves","Leviathan","","","Inspiring Presence","15","Herald",""
"0002 - RS","Sons of Horus","Crusade","Legion Recon Company","White Scars","Connoisseur of Alien Curios","12","Warmonger",""
"0002 - RS","Mechanicum","Leviathan","Legio Cybernetica","","Hell Rider","6","Magos Dominus",""
"0002 - RS","Sons of Horus","Onslaught","","","Shattering Bombardment","13","Praetor Tribune",""
"0002 - RS","Blackshields","Leviathan","","","Immovable Object","11","Forge Lord",""
"0002 - RS","Ultramarines","Leviathan","","","Marcher Lord","6","Primus Medicae",""
"0002 - RS","Night Lords","Crusade","Chymeriae","","Puissant Commander","14","Chaplain",""
"0002 - RS","Ultramarines","Crusade","Company of Bitter Iron","","Bloody Handed","7","Warmonger",""
"0002 - RS","Salamanders","Onslaught","","","Strategic Genius","8","Armistos",""
"0002 - RS","Sons of Horus","Castellan","","","Connoisseur of Alien Curios","1","Esoterist",""
"0002 - RS","Salamanders","Onslaught","","Questoris Knights","Merchant Princeling","11","Primus Medicae",""
"0002 - RS","Questoris Knights","Crusade","","","Paladin of Glory","7","Seneschal",""
"0002 - RS","Iron Warriors","Crusade","The Guard of the Crimson King","","Dread Rites","6","Praetor",""
"0002 - RS","Blackshields","Onslaught","Terror Assault","","Merchant Princeling","7","Praetor",""
"0002 - RS","Mechanicum","Crusade","Legio Cybernetica","Solar Auxilia","Child of Terra","2","Archmagos Dominus",""
"0002 - RS","Thousand Sons","Crusade","Chymeriae","","Connoisseur of Alien Curios","1","Champion",""
"0002 - RS","Ultramarines","Onslaught","","","The Death of Flesh","15","Herald",""
"0002 - RS","Raven Guard","Leviathan","Last of the Serrated Sun","","Master of the Vanguard","12","Master of Signals",""
"0002 - RS","Questoris Knights","Leviathan","","","Lord of the Abyss","8","Lord Scion",""
"0002 - RS","Blackshields","Crusade","Chogorian Brotherhood","","Master Tactician","13","Moritat",""
"0002 - RS","White Scars","Leviathan","Sky Hunter Phalanx","Iron Warriors","Beloved of the People","12","Centurion",""
"0002 - RS","Iron Hands","Castellan","The Covenant of Fire","","Void Master","7","Master of Signals",""
"0002 - RS","Emperor's Children","Castellan","Death Seekers","Solar Auxilia","The Dust of a Thousand Worlds","7","Praetor Tribune",""
"0002 - RS","Emperor's Children","Onslaught","Sacrificial Offering","","Siege Master","10","Esoterist",""
"0002 - DV","Shattered Legions","Leviathan","Vigil Opertii Mission","","Battlefield Analysis","3","Forge Lord",""
"0002 - DV","Sons of Horus","Onslaught","Sky Hunter Phalanx","","Immovable Object","7","Warmonger",""
"0002 - DV","Shattered Legions","Crusade","Orbital Assault","","Glorious Renown","11","Primus Medicae",""
"0002 - DV","World Eaters","Castellan","The Bloodied Gauntlet","","Master of Ambush","13","Herald",""
"0002 - DV","Shattered Legions","Castellan","After Isstvan","","Master of Ambush","9","Forge Lord",""
"0002 - DV","Shattered Legions","Castellan","The Unbroken Vow","","Shattering Bombardment","3","Mortificator",""
"0002 - DV","White Scars","Castellan","","","Uncanny Survivor","2","Praetor Tribune",""
"0002 - DV","Questoris Knights","Castellan","","","Divide to Conquer","9","Seneschal",""
"0002 - DV","Night Lords","Crusade","Brethren of Iron","Thousand Sons","Uncanny Survivor","14","Librarian",""
"0002 - DV","Word Bearers","Castellan","The Stone Gauntlet","Militia & Cults","Connoisseur of Alien Curios","2","Vigilator",""
"0002 - DV","Ultramarines","Castellan","","","Child of Terra","4","Warmonger",""
"0002 - DV","World Eaters","Leviathan","","Raven Guard","Blind Barrage","8","Esoterist",""
"0002 - DV","Alpha Legion","Crusade","Outlanders","","Master of Manoeuvre","3","Librarian",""
"0002 - DV","White Scars","Leviathan","Primarch's Chosen","Questoris Knights","Inspiring Presence","5","Mortificator",""
"0002 - DV","Ultramarines","Onslaught","Ironwing Protocol","Word Bearers","Coordinated Assault","8","Chaplain",""
"0002 - DV","Solar Auxilia","Crusade","","Space Wolves","Target Priority","6","Auxilia Tank Commander",""
"0002 - DV","Emperor's Children","Onslaught","","","Child of Terra","1","Master of Signals",""
"0002 - DV","Raven Guard","Castellan","3rd Company Elite","","Connoisseur of Alien Curios","2","Chaplain",""
"0002 - DV","White Scars","Castellan","The Awakening Fire","","Paladin of Glory","9","Primus Nullificator",""
"0002 - DV","Iron Hands","Castellan","Decapitation Strike","","Merchant Princeling","1","Praevian",""
"0002 - DV","Solar Auxilia","Leviathan","","","Puissant Commander","7","Auxilia Tank Commander",""
"0002 - DV","Salamanders","Leviathan","","","Hell Rider","13","Champion",""
"0002 - DV","Dark Angels","Leviathan","","Iron Warriors","Tenacity","5","Warmonger",""
"0002 - DV","World Eaters","Castellan","The Dark Brethren","","Paladin of Glory","2","Chaplain",""
"0002 - DV","Sons of Horus","Crusade","Creeping Death","","World Burner","2","Esoterist",""
"0002 - DV","Salamanders","Leviathan","The Day of Revelation","","Divide to Conquer","2","Primus Medicae",""
"0002 - DV","Dark Angels","Leviathan","","","Master of the Vanguard","15","Praetor Tribune",""
"0002 - DV","World Eaters","Castellan","Legion Recon Company","","Bloody Handed","10","Vigilator",""
"0002 - DV","Space Wolves","Leviathan","Berserker Assault","","The Dust of a Thousand Worlds","11","Master of Signals",""
"0002 - DV","Questoris Knights","Castellan","","","Strategic Genius","12","Archmagos Draykavac",""
"0002 - DV","Imperial Fists","Onslaught","","","Marcher Lord","12","Delegatus",""
"0002 - DV","Alpha Legion","Leviathan","The Black Reaving","Alpha Legion","Indomitable","4","Primus Nullificator",""
"0002 - DV","Space Wolves","Castellan","Death Seekers","Blackshields","Merchant Princeling","6","Praevian",""
"0002 - DV","White Scars","Leviathan","The Bloodied Claws","","The Dust of a Thousand Worlds","6","Esoterist",""
"0002 - DV","Raven Guard","Castellan","The Coils of the Hydra","","Divide to Conquer","3","Chaplain",""
"0002 - DV","Questoris Knights","Leviathan","","","Conqueror of Cities","6","Archmagos Draykavac",""
"0002 - DV","White Scars","Castellan","Orbital Assault","","Immovable Object","9","Delegatus",""
"0002 - DV","Blackshields","Crusade","Armoured Breakthrough","","Lord of the Abyss","7","Master of Signals",""
"0002 - DV","Mechanicum","Crusade","Ordo Reductor","","Night Attacker","8","Secutarii Axiarch",""
"0002 - DV","Shattered Legions","Onslaught","","","Master Tactician","8","Champion",""
"0002 - DV","Thousand Sons","Leviathan","Angel's Wrath","Questoris Knights","Night Attacker","7","Mortificator",""
"0002 - DV","Dark Angels","Crusade","Primarch's Chosen","","Shattering Bombardment","9","Siege Breaker",""
"0002 - DV","Mechanicum","Castellan","Ordo Reductor","","Master of Offence","2","Magos Dominus",""
"0002 - DV","Blood Angels","Crusade","","","Connoisseur of Alien Curios","15","Armistos",""
"0002 - DV","Blackshields","Castellan","","","Coordinated Assault","9","Moritat",""
"0002 - DV","Ultramarines","Crusade","Death Seekers","","Glorious Renown","4","Chaplain",""
"0002 - DV","Alpha Legion","Leviathan","The Logos Lectora","","Beloved of the People","4","Centurion",""
"0002 - DV","Questoris Knights","Castellan","","","Master Tactician","12","Archmagos Draykavac",""
"0002 - DV","Shattered Legions","Crusade","Outcast Sons","","Master of the Vanguard","5","Praetor Tribune",""
"0002 - DV","White Scars","Leviathan","The Seekers Arrow","Shattered Legions","Strategic Genius","12","Chaplain",""
"0002 - DV","Iron Warriors","Crusade","Armoured Breakthrough","","Intimidating Presence","8","Praevian",""
"0002 - DV","Dark Angels","Leviathan","Vigil Opertii Mission","","Siege Master","13","Master of Signals",""
"0002 - DV","Space Wolves","Onslaught","","Emperor's Children","Conqueror of Cities","1","Esoterist",""
"0002 - DV","World Eaters","Crusade","The Axis of Dissolution","Iron Warriors","The Death of Flesh","9","Chaplain",""
"0002 - DV","Word Bearers","Leviathan","The Day of Revelation","","Bitter Blood","3","Delegatus",""
"0002 - DV","Ultramarines","Crusade","Hammerfell Strike Force","Iron Warriors","Conqueror of Cities","11","Siege Breaker",""
"0002 - DV","Word Bearers","Castellan","Armoured Breakthrough","","Tenacity","12","Praevian",""
"0002 - DV","Mechanicum","matrixOfRuin","Legio Cybernetica","","Marcher Lord","5","Magos Dominus",""
"0002 - DV","Emperor's Children","Castellan","","","Hell Rider","2","Praevian",""
"0002 - DV","Blackshields","Onslaught","Legion Recon Company","","Master of Offence","1","Warmonger",""
"0002 - DV","Thousand Sons","Castellan","Chymeriae","","Glorious Renown","3","Centurion",""
"0002 - DV","Raven Guard","Crusade","The Day of Revelation","Mechanicum","Strategic Genius","7","Praevian",""
"0002 - DV","Word Bearers","Leviathan","The Awakening Fire","","Master Tactician","2","Librarian",""
"0002 - DV","Death Guard","Castellan","","Ultramarines","Tenacity","11","Forge Lord",""
"0002 - DV","World Eaters","Crusade","","","Glorious Renown","9","Mortificator",""
"0002 - DV","Emperor's Children","Crusade","The Storm of War","","Predictive Augury","6","Centurion",""
"0002 - DV","Imperial Fists","Leviathan","Hammerfell Strike Force","","Inspiring Presence","12","Chaplain",""
"0002 - DV","Solar Auxilia","Crusade","","","The Death of Flesh","2","Lord Marshal",""
"0002 - DV","Questoris Knights","Onslaught","","","Immovable Object","9","Archmagos Draykavac",""
"0002 - DV","Raven Guard","Leviathan","The Eskaton Imperative","","Night Attacker","12","Moritat",""
"0002 - DV","Alpha Legion","Crusade","","","Master of Ambush","6","Delegatus",""
"0002 - DV","Night Lords","Castellan","The Swift Blade","","Uncanny Survivor","8","Herald",""
"0002 - DV","Questoris Knights","Onslaught","","","Master of Ambush","9","Lord Scion",""
"0002 - DV","World Eaters","Crusade","","","Puissant Commander","3","Centurion",""
"0002 - DV","Raven Guard","Crusade","The Long March","","Master of Ambush","15","Librarian",""
"0002 - DV","Militia & Cults","Leviathan","","","Night Attacker","3","Rogue Psyker Alpha",""
"0002 - DV","Blackshields","Leviathan","","","Glorious Renown","7","Librarian",""
"0002 - DV","Iron Warriors","Onslaught","","","World Burner","2","Armistos",""
"0002 - DV","Blackshields","Onslaught","","Blood Angels","Princeps of Deceit","5","Praetor Tribune",""
"0002 - DV","World Eaters","Castellan","","","Legendary Fighter","8","Champion",""
"0002 - DV","Night Lords","Crusade","Liberation Force","","Glorious Renown","11","Siege Breaker",""
"0002 - DV","Solar Auxilia","Leviathan","","Mechanicum","Master of Manoeuvre","12","Legate Commander",""
"0002 - DV","Space Wolves","Castellan","The Axis of Dissolution","","Lord of the Abyss","7","Centurion",""
"0002 - DV","Night Lords","Crusade","","","Ruthless Tyrant","9","Chaplain",""
"0002 - DV","Blackshields","Crusade","Primarch's Chosen","","Night Attacker","3","Herald",""
"0002 - DV","Shattered Legions","Leviathan","","Shattered Legions","Perfected Targeting","2","Herald",""
"0002 - DV","Blackshields","Onslaught","The Day of Sorrow","","Conqueror of Cities","4","Praevian",""
"0002 - DV","Emperor's Children","Onslaught","","","World Burner","13","Champion",""
"0002 - DV","Imperial Fists","Onslaught","","","Master of Mechanisms","5","Praetor Tribune",""
"0002 - DV","Thousand Sons","Leviathan","","Night Lords","Strategic Genius","7","Praetor Tribune",""
"0002 - DV","Night Lords","Leviathan","The Logos Lectora","Alpha Legion","Bloody Handed","9","Esoterist",""
"0002 - DV","Thousand Sons","Leviathan","Ironwing Protocol","","Puissant Commander","14","Centurion",""
"0002 - DV","Sons of Horus","Crusade","The Pale Hunters","","Void Walker","3","Mortificator",""
"0002 - DV","Sons of Horus","Leviathan","Outcast Sons","","Intimidating Presence","8","Praetor Tribune",""
"0002 - DV","Death Guard","Onslaught","","","Night Attacker","3","Delegatus",""
"0002 - DV","Alpha Legion","Crusade","Armoured Breakthrough","","Shattering Bombardment","9","Librarian",""
"0002 - DV","Thousand Sons","Leviathan","","","Master Tactician","10","Praevian",""
"0002 - DV","White Scars","Crusade","Primarch's Chosen","","Master of the Vanguard","5","Librarian",""
"0002 - DV","Word Bearers","Onslaught","","","Princeps of Deceit","10","Herald",""
"0002 - DV","Ultramarines","Crusade","","","Master of Defence","3","Siege Breaker",""
"0002 - DV","Death Guard","Crusade","The Storm of War","","Bloody Handed","5","Centurion",""
"0002 - DV","Salamanders","Leviathan","","","Void Master","6","Primus Medicae",""
"0002 - DV","Space Wolves","Leviathan","Vigil Opertii Mission","","The Dust of a Thousand Worlds","3","Primus Nullificator",""
"0002 - DV","Space Wolves","Castellan","Drop Assault Vanguard","","Child of Terra","2","Master of Signals",""
"0002 - DV","Solar Auxilia","Crusade","","","Master Tactician","1","Lord Marshal Ireton MaSade",""
"0002 - DV","Questoris Knights","Onslaught","","Sons of Horus","Merchant Princeling","2","Archmagos Draykavac",""
"0002 - DV","Space Wolves","Crusade","Sagyar Mazan","","Indomitable","3","Chaplain",""
"0002 - DV","Thousand Sons","Leviathan","","","The Dust of a Thousand Worlds","15","Vigilator",""
"0002 - DV","Raven Guard","Castellan","The Hammer of Olympia","Dark Angels","Master Tactician","3","Delegatus",""
"0002 - DV","Solar Auxilia","Crusade","","","Intimidating Presence","10","Lord Marshal Ireton MaSade",""
"0002 - DV","Iron Hands","Castellan","Liberation Force","Ultramarines","Legendary Fighter","15","Librarian",""
"0002 - DV","Shattered Legions","Castellan","The Unbroken Vow","","Target Priority","1","Warmonger",""
"0002 - DV","Emperor's Children","Crusade","The Storm of War","","Robber Baron","10","Warmonger",""
"0002 - DV","World Eaters","Crusade","The Long March","","Hell Rider","2","Herald",""
"0002 - DV","Questoris Knights","Castellan","","","Puissant Commander","15","Archmagos Draykavac",""
"0002 - DV","Death Guard","Crusade","Death Seekers","","Void Master","13","Warmonger",""
"0002 - DV","Sons of Horus","Crusade","Liberation Force","","Perfected Targeting","8","Vigilator",""
"0002 - DV","Questoris Knights","Leviathan","","Death Guard","Marcher Lord","6","Seneschal",""
"0002 - DV","Iron Hands","Leviathan","The Logos Lectora","World Eaters","Coordinated Assault","5","Champion",""
"0002 - DV","Dark Angels","Onslaught","Hammerfell Strike Force","Death Guard","Master of Offence","3","Primus Medicae",""
"0002 - DV","Death Guard","Castellan","The Guard of the Crimson King","Questoris Knights","Uncanny Survivor","6","Forge Lord",""
"0002 - DV","Alpha Legion","Onslaught","Sacrificial Offering","","Master of Offence","7","Mortificator",""
"0002 - DV","Alpha Legion","Crusade","Sacrificial Offering","","Strategic Genius","10","Warmonger",""
"0002 - DV","Blackshields","Castellan","Horror Cult","","The Dust of a Thousand Worlds","11","Centurion",""
"0002 - DV","Emperor's Children","Crusade","","","Favoured of Mars","1","Warmonger",""
"0002 - DV","Death Guard","Onslaught","The Bloodied Gauntlet","Thousand Sons","Lord of the Abyss","7","Forge Lord",""
"0002 - DV","Space Wolves","Onslaught","The Covenant of Fire","","Dread Rites","8","Moritat",""
"0002 - DV","Mechanicum","Crusade","Ordo Reductor","","Marcher Lord","14","Archmagos Draykavac",""
"0002 - DV","World Eaters","Onslaught","","","Immovable Object","11","Primus Medicae",""
